datetime,freePositions,childBikesPositions 
25.10.2021 22:42,68,16
25.10.2021 23:10,69,16
25.10.2021 23:36,69,16
26.10.2021 00:12,69,16
26.10.2021 00:38,70,16
26.10.2021 01:12,70,16
26.10.2021 01:36,70,16
26.10.2021 02:40,70,16
26.10.2021 03:52,70,16
26.10.2021 04:24,68,16
26.10.2021 04:44,68,16
26.10.2021 05:12,63,16
26.10.2021 05:38,62,16
26.10.2021 06:14,58,16
26.10.2021 06:46,54,16
26.10.2021 07:10,50,16
26.10.2021 07:34,47,16
26.10.2021 08:14,48,16
26.10.2021 08:42,46,16
26.10.2021 09:10,46,16
26.10.2021 09:34,46,16
26.10.2021 10:14,45,16
26.10.2021 10:40,45,16
26.10.2021 11:10,45,16
26.10.2021 11:42,43,16
26.10.2021 12:12,42,16
26.10.2021 12:38,41,16
26.10.2021 13:10,39,16
26.10.2021 13:34,39,16
26.10.2021 14:18,39,16
26.10.2021 14:54,40,16
26.10.2021 15:18,40,16
26.10.2021 15:38,43,16
26.10.2021 16:10,44,16
26.10.2021 16:34,46,16
26.10.2021 17:12,55,16
26.10.2021 17:40,54,16
26.10.2021 18:18,58,16
26.10.2021 18:56,62,16
26.10.2021 19:22,63,16
26.10.2021 19:40,65,16
26.10.2021 20:12,66,16
26.10.2021 20:40,69,16
26.10.2021 21:08,71,16
26.10.2021 21:32,71,16
26.10.2021 22:12,71,16
26.10.2021 22:36,71,16
26.10.2021 23:10,71,16
26.10.2021 23:34,71,16
27.10.2021 00:12,71,16
27.10.2021 00:38,72,16
27.10.2021 01:12,73,16
27.10.2021 01:36,75,16
27.10.2021 02:40,75,16
27.10.2021 03:52,75,16
27.10.2021 04:24,72,16
27.10.2021 04:46,71,16
27.10.2021 05:12,70,16
27.10.2021 05:38,69,16
27.10.2021 06:14,67,16
27.10.2021 06:46,63,16
27.10.2021 07:10,58,16
27.10.2021 07:34,58,16
27.10.2021 08:14,59,16
27.10.2021 08:42,57,16
27.10.2021 09:10,56,16
27.10.2021 09:34,55,16
27.10.2021 10:14,55,16
27.10.2021 10:40,54,16
27.10.2021 11:10,53,16
27.10.2021 11:36,52,16
27.10.2021 12:12,52,16
27.10.2021 12:38,51,16
27.10.2021 13:08,52,16
27.10.2021 13:32,54,16
27.10.2021 14:20,57,16
27.10.2021 14:56,55,16
27.10.2021 15:20,55,16
27.10.2021 15:38,55,16
27.10.2021 16:10,55,16
27.10.2021 16:36,56,16
27.10.2021 17:12,59,16
27.10.2021 17:40,56,16
27.10.2021 18:18,57,16
27.10.2021 18:56,62,16
27.10.2021 19:22,64,16
27.10.2021 19:40,65,16
27.10.2021 20:12,65,16
27.10.2021 20:42,66,16
27.10.2021 21:08,67,16
27.10.2021 21:34,69,16
27.10.2021 22:12,70,16
27.10.2021 22:36,71,16
27.10.2021 23:10,71,16
27.10.2021 23:34,71,16
28.10.2021 00:10,72,16
28.10.2021 00:36,72,16
28.10.2021 01:10,72,16
28.10.2021 01:36,72,16
28.10.2021 02:40,72,16
28.10.2021 03:54,72,16
28.10.2021 04:24,72,16
28.10.2021 04:46,71,16
28.10.2021 05:12,72,16
28.10.2021 05:38,71,16
28.10.2021 06:14,71,16
28.10.2021 06:46,72,16
28.10.2021 07:10,68,16
28.10.2021 07:34,68,16
28.10.2021 08:14,64,16
28.10.2021 08:42,62,16
28.10.2021 09:10,62,16
28.10.2021 09:34,62,16
28.10.2021 10:12,63,16
28.10.2021 10:40,63,16
28.10.2021 11:10,64,16
28.10.2021 11:36,63,16
28.10.2021 12:12,62,16
28.10.2021 12:38,62,16
28.10.2021 13:08,61,16
28.10.2021 13:34,61,16
28.10.2021 14:18,63,16
28.10.2021 14:54,63,16
28.10.2021 15:20,63,16
28.10.2021 15:38,64,16
28.10.2021 16:10,65,16
28.10.2021 16:36,66,16
28.10.2021 17:12,67,16
28.10.2021 17:40,66,16
28.10.2021 18:18,66,16
28.10.2021 18:56,67,16
28.10.2021 19:20,68,16
28.10.2021 19:38,68,16
28.10.2021 20:12,68,16
28.10.2021 20:42,68,16
28.10.2021 21:08,67,16
28.10.2021 21:32,67,16
28.10.2021 22:12,69,16
28.10.2021 22:36,69,16
28.10.2021 23:10,70,16
28.10.2021 23:34,70,16
29.10.2021 00:10,70,16
29.10.2021 00:36,71,16
29.10.2021 01:10,71,16
29.10.2021 01:36,71,16
29.10.2021 02:38,72,16
29.10.2021 03:52,72,16
29.10.2021 04:24,70,16
29.10.2021 04:46,70,16
29.10.2021 05:12,69,16
29.10.2021 05:38,68,16
29.10.2021 06:16,66,16
29.10.2021 06:48,65,16
29.10.2021 07:10,66,16
29.10.2021 07:34,67,16
29.10.2021 08:14,65,16
29.10.2021 08:44,64,16
29.10.2021 09:12,63,16
29.10.2021 09:34,63,16
29.10.2021 10:14,63,16
29.10.2021 10:40,62,16
29.10.2021 11:10,63,16
29.10.2021 11:36,63,16
29.10.2021 12:12,62,16
29.10.2021 12:38,63,16
29.10.2021 13:08,64,16
29.10.2021 13:34,64,16
29.10.2021 14:18,63,16
29.10.2021 14:56,61,16
29.10.2021 15:20,61,16
29.10.2021 15:38,63,16
29.10.2021 16:10,65,16
29.10.2021 16:34,63,16
29.10.2021 17:12,64,16
29.10.2021 17:40,65,16
29.10.2021 18:18,64,16
29.10.2021 18:56,66,16
29.10.2021 19:18,67,16
29.10.2021 19:40,68,16
29.10.2021 20:14,68,16
29.10.2021 20:40,68,16
29.10.2021 21:08,68,16
29.10.2021 21:34,69,16
29.10.2021 22:12,68,16
29.10.2021 22:36,68,16
29.10.2021 23:10,68,16
29.10.2021 23:34,68,16
30.10.2021 00:10,68,16
30.10.2021 00:36,68,16
30.10.2021 01:12,68,16
30.10.2021 01:36,68,16
30.10.2021 02:40,68,16
30.10.2021 03:52,68,16
30.10.2021 04:24,69,16
30.10.2021 04:46,69,16
30.10.2021 05:12,69,16
30.10.2021 05:38,69,16
30.10.2021 06:14,68,16
30.10.2021 06:46,68,16
30.10.2021 07:10,67,16
30.10.2021 07:34,68,16
30.10.2021 08:14,66,16
30.10.2021 08:42,66,16
30.10.2021 09:10,66,16
30.10.2021 09:34,65,16
30.10.2021 10:14,60,16
30.10.2021 10:40,60,16
30.10.2021 11:10,60,16
30.10.2021 11:36,59,16
30.10.2021 12:12,58,16
30.10.2021 12:38,58,16
30.10.2021 13:08,58,16
30.10.2021 13:34,59,16
30.10.2021 14:18,58,16
30.10.2021 14:52,58,16
30.10.2021 15:16,58,16
30.10.2021 15:36,59,16
30.10.2021 16:10,59,16
30.10.2021 16:34,57,16
30.10.2021 17:10,57,16
30.10.2021 17:38,57,16
30.10.2021 18:16,60,16
30.10.2021 18:54,62,16
30.10.2021 19:16,61,16
30.10.2021 19:38,62,16
30.10.2021 20:12,61,16
30.10.2021 20:40,61,16
30.10.2021 21:08,61,16
30.10.2021 21:34,61,16
30.10.2021 22:10,62,16
30.10.2021 22:36,65,16
30.10.2021 23:08,65,16
30.10.2021 23:34,65,16
30.10.2021 23:48,65,16
30.10.2021 23:58,65,16
31.10.2021 00:32,65,16
31.10.2021 00:58,65,16
31.10.2021 01:30,65,16
31.10.2021 02:00,66,16
31.10.2021 02:42,66,16
31.10.2021 02:22,66,16
31.10.2021 02:46,66,16
31.10.2021 03:12,66,16
31.10.2021 03:36,66,16
31.10.2021 04:00,66,16
31.10.2021 04:32,66,16
31.10.2021 05:00,65,16
31.10.2021 05:36,63,16
31.10.2021 06:00,63,16
31.10.2021 06:30,63,16
31.10.2021 07:00,63,16
31.10.2021 07:34,62,16
31.10.2021 08:00,59,16
31.10.2021 08:30,57,16
31.10.2021 09:00,56,16
31.10.2021 09:34,56,16
31.10.2021 10:00,55,16
31.10.2021 10:32,55,16
31.10.2021 11:00,55,16
31.10.2021 11:32,55,16
31.10.2021 12:00,56,16
31.10.2021 12:30,56,16
31.10.2021 13:00,56,16
31.10.2021 13:38,57,16
31.10.2021 14:04,59,16
31.10.2021 14:32,58,16
31.10.2021 15:00,58,16
31.10.2021 15:30,59,16
31.10.2021 16:00,61,16
31.10.2021 16:32,61,16
31.10.2021 17:00,62,16
31.10.2021 17:38,64,16
31.10.2021 18:02,64,16
31.10.2021 18:32,65,16
31.10.2021 19:00,67,16
31.10.2021 19:32,68,16
31.10.2021 20:00,68,16
31.10.2021 20:28,68,16
31.10.2021 21:00,67,16
31.10.2021 21:30,68,16
31.10.2021 22:00,70,16
31.10.2021 22:30,71,16
31.10.2021 23:00,71,16
31.10.2021 23:32,71,16
01.11.2021 00:00,71,16
01.11.2021 00:32,71,16
01.11.2021 01:00,71,16
01.11.2021 01:42,71,16
01.11.2021 02:22,71,16
01.11.2021 02:46,71,16
01.11.2021 03:12,71,16
01.11.2021 03:38,71,16
01.11.2021 04:00,71,16
01.11.2021 04:32,67,16
01.11.2021 05:00,66,16
01.11.2021 05:36,65,16
01.11.2021 06:00,60,16
